Type,From,To,Quantity,App,Date,Transaction Hash,Memo
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","4.15867","FALTA ESSE","Jul-18-2024 02:52:45 AM UTC","0x9eeb0e52e93ddaee49dedaf2becbfb2f2140471fa92761527e2970878b810407","SWAPX:23.25|0.75|5.4104|pxusdt|e10573521202407180252a9e4myrmyld"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","23.29227","FALTA ESSE","Jul-18-2024 02:41:03 AM UTC","0x5a818d7218d405f25bff9a78aa180f1e4a33571b5d4a2986c36d5b39220ce3d4","SWAPX:130.20|4.18|5.4104|pxusdt|e60701190202407180240dy5zv81q88r"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","5.25841","FALTA ESSE","Jul-18-2024 02:34:17 AM UTC","0x82d09f44f269adca0054dea48d13ae0a53e8e3aa54359ce7138371c2a59d6505","SWAPX:29.40|0.95|5.4104|pxusdt|e0000000020240718023326714392292"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","6.49104","FALTA ESSE","Jul-18-2024 02:32:29 AM UTC","0x17b043fe365a4901396ef3dc0b7471473b2997699cd1a000ecb0213f1d44ac7c","SWAPX:36.27|1.17|5.4075|pxusdt|e60701190202407180231dy50nm9n2c1"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","2.41333","FALTA ESSE","Jul-18-2024 02:31:43 AM UTC","0x1e6bd760423f5e3cbe6f49fe04f4d584b2ec909004e9672c33e2eb60f82fe144","SWAPX:13.49|0.44|5.4075|pxusdt|e00360305202407180231ae98929f572"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.49517","FALTA ESSE","Jul-18-2024 02:18:31 AM UTC","0x8ae28cb3e36735f8233d841bb55a75dc154933345863512689d69c0338287246","SWAPX:19.53|0.63|5.4075|pxusdt|e18236120202407180218s07bed809b0"
"FALTA ESSE","0x958972306C0DB6823FEE650e5618EAc31FA36B9D","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","37.45572","FALTA ESSE","Jul-18-2024 02:12:53 AM UTC","0xdc97de42cfbac865879ae06efeebc6a233a3090f8e62f8f9f0a27bb8db063862","SWAPX:209.25|6.71|5.4075|pxusdt|e60701190202407180212dy5w2c07r8l"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 02:12:01 AM UTC","0x1d17cc05adeb328b84258eaaf06f5cdc3d084d2d8e0a7fad2e0d74c2e7b4801f","SWAPX:18.51|0.60|5.4075|pxusdt|e0000000020240718021139252187400"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","23.30487","FALTA ESSE","Jul-18-2024 02:09:23 AM UTC","0x63ae4f1ed9cd60ef4056e301837063c921ef339ce1c023de8a5b5e09b66c0227","SWAPX:130.20|4.18|5.4075|pxusdt|e0856170120240718020904652657470"
"FALTA ESSE","0x1e9482404d26040232e8380D488c35Ddb277b105","0xc2132D05D31c914a87C6611C10748AEb04B58e8F","3.31209","FALTA ESSE","Jul-18-2024 02:09:03 AM UTC","0x8fdeff8200abe52d0e6673780fdc5d4c8cbdd9f2e19e9c28d207596978ad05e8","SWAPX:18.51|0.60|5.4075|pxusdt|e60746948202407180208a2360bt0wpo"
